mean_test_score,mean_fit_time,C,Gamma,tomek,under_strat,over_strat
0.85901841,31.39838187,46.86262483,0.702402916,No TL,-60%,Imbal S
0.858940611,113.9531402,103.8240961,0.785850361,No TL,-25%,Imbal S
0.858583029,61.56971407,103.5840174,0.776379546,No TL,-25%,Imbal S
0.85840161,148.740124,108.0843478,1.014826533,TL,-25%,+500% BS
0.858071847,30.64958413,50.00978974,0.762008066,TL,-60%,+300% S
0.858063406,34.84565981,50.13076651,0.655029078,TL,Imbal,Imbal S
0.857785207,295.3675384,41.23047188,0.631991883,TL,-15%,BoSMOTE
0.857656163,29.55105639,27.80456328,0.691082813,No TL,-60%,+500% S
0.85726866,32.26586692,34.82996706,0.746277596,TL,Imbal,Imbal S
0.857191283,62.338684,5.891610381,0.921482826,TL,Imbal,SMOTE
0.857142857,62.92712474,11.50972511,0.690028215,No TL,Imbal,SMOTE
0.856997677,17.73296428,35.74890248,0.66129252,No TL,-80%,+300% S
0.856525085,94.24882523,102.6075643,0.496483736,No TL,-40%,+500% S
0.856352093,70.61697992,76.52372447,0.874887892,No TL,-15%,Imbal S
0.856327307,31.53840939,36.43549003,0.638603176,TL,-60%,Imbal S
0.856235187,240.4528347,63.65495559,0.582556021,No TL,-25%,BoSMOTE
0.856201455,74.41248512,76.48905551,0.668374291,TL,-15%,Imbal S
0.856121288,274.4798503,33.84703281,0.20205566,TL,-15%,SMOTE
0.856068194,44.71490065,64.23120839,0.879462806,TL,-25%,+300% S
0.856040897,13.43154152,12.04003003,0.754454041,No TL,-80%,Imbal S
0.855978632,330.2485376,78.63867161,0.496598734,No TL,-15%,BoSMOTE
0.855661929,13.5543952,41.85131104,0.373658508,No TL,-80%,Imbal S
0.855544794,58.55718271,59.28393886,0.909924954,TL,Imbal,BoSMOTE
0.855092866,150.2477235,98.63669166,0.503712034,TL,-40%,BoSMOTE
0.85494236,65.05866353,43.14518835,0.841304299,TL,-15%,Imbal S
0.854782202,29.08930643,65.73593338,0.193444647,TL,-80%,+500% S
0.854777599,76.40800333,46.25829206,1.02114329,TL,-15%,+300% S
0.854761689,44.69706702,3.62806349,1.055127661,TL,-80%,+500% S
0.854712668,37.04854727,66.14168899,0.814013097,No TL,-60%,+300% S
0.854693741,84.75597986,79.57900566,0.792078003,TL,-15%,+300% S
0.854197077,95.63390557,180.6922264,0.963881703,No TL,Imbal,+500% BS
0.853938864,74.05925592,124.1933462,0.626407623,TL,-15%,+300% S
0.853845048,51.36724345,30.6272771,0.756832514,TL,-25%,+500% S
0.853705586,32.07800388,114.3111458,0.465490043,TL,-60%,+300% S
0.853539356,164.8176323,114.4771364,0.518006373,No TL,-40%,BoSMOTE
0.853537937,34.83282177,40.11669055,0.893877715,No TL,-40%,Imbal S
0.853393735,83.39390715,12.43461776,1.049177401,TL,-40%,+500% S
0.853338629,236.5909833,31.91984364,0.701901392,No TL,-15%,BoSMOTE
0.852919858,12.16548554,207.0019765,0.886174895,No TL,-80%,BoSMOTE
0.852894148,65.8351361,51.24807508,1.089020309,No TL,-40%,+300% S
0.852781962,91.49083694,94.37582022,0.54517964,No TL,-25%,+500% S
0.852690062,55.53331566,38.7015865,0.380157865,TL,-60%,+500% S
0.852567978,44.2206498,99.73631482,0.150268927,TL,-80%,+500% S
0.852163499,7.048244158,34.5537604,0.562883279,No TL,-80%,SMOTE
0.851827208,35.25073099,39.21965388,0.945560251,No TL,-60%,+300% S
0.851641196,60.09745399,86.56569107,1.05862037,TL,-40%,+500% BS
0.851625998,159.5203633,117.4795993,1.074006439,No TL,-25%,+500% BS
0.851436667,59.96176394,72.92546469,0.940983991,TL,-60%,BoSMOTE
0.851220177,117.3484074,22.47979145,0.829223643,TL,-15%,+500% S
0.850988576,73.28628453,33.68230994,1.043839642,No TL,-25%,Imbal S
