activ,av_val_loss,drop_out,max_neurons,learn_rate,momentum,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
LeReLU,0.467760757,0.1,512,0.001,0.001,3773.203125,87.5,0.529867828,0.415716171,0.464843005,0.460616022
Relu,0.468152627,0.3,64,0.001,0.99,688.671875,71.25,0.549056828,0.431336373,0.506459415,0.385757893
Relu,0.468296923,0,128,1.00E-05,0.99,847.390625,65,0.577516258,0.451896548,0.477766722,0.366008162
Softmax,0.468628913,0.1,256,0.01,0.9,1593.515625,76.25,0.557709455,0.474230081,0.394011945,0.448564172
Relu,0.469373807,0,64,1.00E-05,0.999,566.71875,60,0.59297365,0.441820353,0.417083561,0.425617665
Softmax,0.469376996,0,512,0.01,0.9,2095.96875,61.25,0.66747421,0.498499036,0.321299821,0.390234917
Relu,0.469794206,0.3,128,1.00E-05,0.999,857.828125,63.75,0.522500932,0.576294899,0.359157354,0.42122364
LeReLU,0.471913464,0,256,0.1,0.01,1182.796875,56.25,0.478200912,0.493494004,0.383986592,0.531972349
LeReLU,0.472021013,0,128,0.001,0.01,1093.640625,82.5,0.466695815,0.483873278,0.505387187,0.432127774
LeReLU,0.473433025,0,256,0.001,0,1499.546875,72.5,0.580844343,0.490057826,0.423825741,0.399004191
LeReLU,0.474671654,0,128,0.1,0.01,828.953125,62.5,0.507275641,0.432028413,0.531552136,0.427830428
Relu,0.475195266,0.1,64,0.001,0.999,590.375,61.25,0.460802734,0.529775977,0.439463586,0.470738769
Relu,0.476015151,0,128,0.001,0,1110.03125,88.75,0.534760296,0.404136628,0.576457202,0.388706475
Softmax,0.476603501,0.1,512,0.1,0,2436.109375,67.5,0.508594692,0.498840034,0.455785543,0.443193734
Relu,0.476817884,0,256,1.00E-05,0.99,1182.296875,57.5,0.574569941,0.458406538,0.424271882,0.450023174
Softmax,0.477194928,0.1,32,0.01,0.99,752.96875,78.75,0.501576841,0.460169613,0.443531305,0.503501952
