av_val_loss,tomek,under_strat,over_strat,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
0.431924231,TL,-60%,+50% S,1329.296875, 69.75 ,0.477460891,0.407423228,0.342394918,0.500417888
0.433628798,No TL,-15%,+20% S,1925.109375, 64.13 ,0.459332049,0.414587706,0.387288958,0.473306477
0.434402972,No TL,-25%,+20% S,1710.15625, 63.00 ,0.412702501,0.479059964,0.450260013,0.395589411
0.438757926,TL,-60%,+100% BS,1399.671875, 65.25 ,0.507974684,0.510685682,0.308873296,0.427498043
0.44822751,TL,-80%,+20% S,834.21875, 64.13 ,0.443953127,0.409297258,0.486372262,0.453287393
0.448668152,TL,Imbal,+100% BS,1512.796875, 65.25 ,0.37988922,0.509119272,0.535463631,0.370200485
0.449783094,No TL,-80%,+20% BS,1100.984375, 87.75 ,0.57256335,0.35207963,0.33156243,0.542926967
0.455154397,No TL,-80%,+20% S,942.125, 74.25 ,0.474047601,0.354742944,0.396260232,0.595566809
0.456733204,No TL,-15%,+20% BS,1696.96875, 56.25 ,0.457785368,0.394663423,0.49196887,0.482515156
0.456871226,TL,Imbal,+20% BS,1182.515625, 60.75 ,0.487276882,0.518422127,0.354266405,0.467519492
0.457022116,No TL,-60%,+50% S,1317.703125, 67.50 ,0.494183153,0.421390295,0.542334616,0.370180398
0.468421586,No TL,-25%,+100% BS,1749, 56.25 ,0.473288685,0.4209041,0.527323604,0.452169955
0.477404438,No TL,-60%,+20% S,1379.46875, 75.38 ,0.410422713,0.598434627,0.478212595,0.422547817
0.478654556,No TL,Imbal,+50% BS,1562.15625, 72.00 ,0.342080265,0.579896212,0.464314938,0.528326809
0.48407463,TL,-80%,+20% BS,846.34375, 66.38 ,0.427418858,0.519961655,0.524469554,0.464448452
